Name,Description,Business Unit ID,User ID,Address,Tag
Alderaan,"Forests, mountains; home planet of Princess Leia and the House of Organa. Destroyed by the first Death Star as punishment for involvement in the Rebel Alliance and also as a demonstration of power.",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Zionskirchstr 10, Berlin, Germany",74354
Bespin,A gas planet with a thin layer of habitable atmosphere where Cloud City was located. The planet's gas layers were a source of rare tibanna gas which was harvested and refined at mining complexes like Cloud City.,ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Prinzregentenstr 25, Munich, Germany",85648
Bogano,"A largely uninhabited grassy planet in the Outer Rim, home to a Zeffo vault.",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Hamburg, Germany",64363
Bracca,An inhospitable junkyard planet in the Mid Rim considered strategically important in the Clone Wars. Becomes useful to the Scrapper Guild whose members salvage decommissioned ships for the Empire.,ID of the business unit you are assigned to in Cozero,ID of your Cozero user,Spain,0114532
Corellia,"Industrial planet located in the Core of the galaxy, with a strong culture of training pilots. Homeworld of Han Solo and Qi'ra.",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Building 10, New Galaxy Road, Peking, China",974684
Coruscant,"Cosmopolitan urban world consisting of one planet-wide city. Coruscant is situated in the heart of the Star Wars galaxy with a population of over one trillion, and is Governmental center of the Galactic Republic and later the Galactic Empire. Home to the main Jedi Temple.[36]",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Nürnberg, Germany",
Crait,"Small mineral planet located in a remote section of the galaxy, its surface is covered with a layer of white salt over its red-colored soil. In Leia, Princess of Alderaan it is the location of an early Rebel Alliance outpost. Leia and her remaining Resistance forces flee there in The Last Jedi, where they face off with the First Order.",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Pestalozzistr 25, Berlin",3576
,"Small mineral planet located in a remote section of the galaxy, its surface is covered with a layer of white salt over its red-colored soil. In Leia, Princess of Alderaan it is the location of an early Rebel Alliance outpost. Leia and her remaining Resistance forces flee there in The Last Jedi, where they face off with the First Order.",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Pestalozzistr 25, Berlin",3576
Dagobah,Swamp planet and Yoda's residence after the fall of the Jedi.,ID of the business unit you are assigned to in Cozero,ID of your Cozero user,"Barcelona, Spain",3576
Dantooine,"Rural planet and the former site of a Rebel base. The writers of Rogue One considered depicting the Rebels evacuating the base for Yavin 4, but ""it didn't move the story forward and it would have cost a ton of money.""",ID of the business unit you are assigned to in Cozero,ID of your Cozero user,Portugal,04356
